episode,reward,r_acc,r_action
1,-2600.777832,-2600.777771,-105.099302
2,-1840.555542,-1840.555527,-77.658373
3,-2456.888916,-2456.888916,-97.046804
4,-2118.555664,-2118.555557,-111.852302
5,-2827.666748,-2827.666687,-125.044208
6,-2530.555420,-2530.555557,-76.159466
7,-2792.666504,-2792.666672,-83.349934
8,-3210.333496,-3210.333298,-124.619720
9,-2519.333496,-2519.333344,-79.039315
10,-2343.778076,-2343.777763,-107.171608
11,-2130.222168,-2130.222221,-96.743935
12,-2896.333496,-2896.333328,-130.145841
13,-2194.666504,-2194.666656,-97.499555
14,-2363.666748,-2363.666672,-111.379373
15,-2839.333252,-2839.333344,-102.112335
16,-2479.555664,-2479.555557,-97.872713
17,-2732.888916,-2732.888901,-64.330861
18,-2482.444336,-2482.444458,-97.460177
19,-2495.000000,-2494.999954,-97.143583
20,-2067.777832,-2067.777725,-106.538713
21,-3183.777832,-3183.777817,-89.415260
22,-2178.333496,-2178.333344,-116.999548
23,-2404.111328,-2404.111176,-96.684214
24,-2462.777832,-2462.777786,-56.728927
25,-2659.777832,-2659.777794,-82.810271
26,-3079.666504,-3079.666656,-100.302768
27,-2179.333252,-2179.333328,-94.486818
28,-2118.333252,-2118.333374,-103.190390
29,-2172.000000,-2171.999992,-79.558881
30,-2224.555420,-2224.555573,-90.260801
31,-2410.666504,-2410.666687,-127.258558
32,-2663.555664,-2663.555542,-64.356981
33,-1924.444580,-1924.444466,-121.322501
34,-2276.000000,-2275.999985,-104.776559
35,-2008.110962,-2008.111069,-92.181970
36,-2243.555664,-2243.555557,-55.707072
37,-2249.777832,-2249.777756,-120.429409
38,-2049.333496,-2049.333328,-73.323030
39,-2617.666504,-2617.666687,-88.796727
40,-2630.777832,-2630.777802,-115.345345
41,-1938.222168,-1938.222214,-80.937642
42,-1857.888916,-1857.888870,-93.141079
43,-1568.333252,-1568.333351,-109.069405
44,-1880.888916,-1880.888916,-76.476022
45,-2162.555664,-2162.555542,-69.742899
46,-1744.555542,-1744.555573,-73.134128
47,-2732.000244,-2732.000000,-85.918144
48,-1721.444458,-1721.444473,-106.333284
49,-2742.333252,-2742.333328,-95.635342
50,-1594.888916,-1594.888885,-64.898798
51,-2082.111084,-2082.111145,-123.492406
52,-2362.000000,-2362.000015,-86.492879
53,-2065.222168,-2065.222229,-79.483303
54,-2535.000000,-2535.000023,-75.439759
55,-1987.333374,-1987.333328,-122.630310
56,-2020.000000,-2020.000000,-71.255625
57,-1955.000000,-1955.000015,-115.943579
58,-1858.777832,-1858.777756,-103.668249
59,-2034.444458,-2034.444443,-76.072791
60,-2006.888916,-2006.888885,-81.035441
61,-2013.222168,-2013.222244,-122.612472
62,-2145.000000,-2145.000031,-109.232557
63,-2048.333496,-2048.333366,-84.484398
64,-2287.444336,-2287.444435,-74.254100
65,-2333.000000,-2333.000023,-80.915223
66,-1820.555664,-1820.555542,-112.438741
67,-1888.777710,-1888.777756,-91.267585
68,-2268.555664,-2268.555588,-110.929016
69,-3038.666748,-3038.666702,-77.169964
70,-2266.111084,-2266.111126,-92.393697
71,-2237.444580,-2237.444412,-122.712213
72,-2236.333496,-2236.333344,-90.505628
73,-2188.666748,-2188.666702,-76.765896
74,-2383.333252,-2383.333374,-107.042183
75,-2327.111084,-2327.111099,-86.797935
76,-2356.666748,-2356.666656,-119.792173
77,-2179.333496,-2179.333313,-116.094180
78,-2219.555420,-2219.555511,-129.141789
79,-2589.333496,-2589.333298,-81.440632
80,-3028.777832,-3028.777817,-131.342667
81,-2252.555664,-2252.555588,-107.420767
82,-1826.000000,-1825.999954,-108.657096
83,-2431.333252,-2431.333328,-85.601859
84,-1926.888916,-1926.888885,-85.478065
85,-1999.000000,-1999.000023,-101.360097
86,-2106.444336,-2106.444405,-99.497413
87,-2601.555420,-2601.555573,-89.095438
88,-2562.555664,-2562.555588,-99.704948
89,-1495.444458,-1495.444458,-80.679989
90,-2626.444336,-2626.444427,-119.703049
91,-2298.111084,-2298.111107,-95.770699
