episode,reward,r_acc,r_action
1,-2385.091064,-2339.444427,-45.646688
2,-2647.998291,-2592.222260,-55.776108
3,-2599.013428,-2557.000000,-42.013419
4,-2575.017578,-2528.111084,-46.906574
5,-2424.135742,-2370.111115,-54.024642
6,-2754.456055,-2704.777771,-49.678240
7,-2354.643066,-2294.888885,-59.754202
8,-2355.562988,-2312.777786,-42.785308
9,-2496.897461,-2464.222229,-32.675426
10,-2467.094482,-2412.222183,-54.872473
11,-2531.388428,-2473.999954,-57.388280
12,-2408.979736,-2356.111145,-52.868555
13,-3040.928711,-2995.888870,-45.039679
14,-2629.588379,-2581.666702,-47.921811
15,-2594.009277,-2539.222244,-54.787024
16,-2796.899658,-2750.888885,-46.010830
17,-2569.476318,-2503.666672,-65.809686
18,-2975.909180,-2921.444458,-54.464680
19,-2326.246826,-2285.999954,-40.246836
20,-2447.444580,-2392.555557,-54.889129
21,-2318.463379,-2260.888901,-57.574568
22,-2263.477051,-2220.999985,-42.476888
23,-2467.442627,-2414.888870,-52.553796
24,-2362.901123,-2312.555557,-50.345408
25,-2466.083740,-2415.444427,-50.639365
26,-2223.481934,-2161.888885,-61.593100
27,-2213.219727,-2163.222260,-49.997586
28,-2306.461914,-2259.222244,-47.239701
29,-2023.806763,-1959.000031,-64.806730
30,-2346.838867,-2281.111145,-65.727768
31,-2085.653076,-2026.777771,-58.875365
32,-2210.287109,-2155.111099,-55.176022
33,-2247.621094,-2200.333328,-47.287745
34,-2868.297363,-2815.999985,-52.297392
35,-2480.347412,-2424.222229,-56.125447
36,-2398.772705,-2351.444427,-47.328148
37,-2541.332764,-2480.333282,-60.999540
38,-2169.079102,-2113.111115,-55.967908
39,-2712.144531,-2665.666702,-46.477690
40,-2492.218994,-2434.666664,-57.552320
41,-2058.172119,-1998.777771,-59.394343
42,-1911.679810,-1854.777771,-56.902010
43,-2450.970459,-2391.222198,-59.748167
44,-1892.366943,-1845.555573,-46.811407
45,-2546.808350,-2497.000000,-49.808337
46,-2026.546265,-1985.222191,-41.323968
47,-2215.217041,-2171.444458,-43.772705
48,-2315.122803,-2274.555588,-40.567148
49,-2083.705322,-2016.444458,-67.260920
50,-1846.555542,-1795.555542,-51.000105
51,-2918.995605,-2882.222244,-36.773308
52,-2551.658203,-2492.888840,-58.769341
53,-2394.946533,-2329.333344,-65.613216
54,-1917.039551,-1871.666687,-45.372839
55,-2960.836670,-2915.777771,-45.058838
56,-1968.626221,-1930.888916,-37.737298
57,-2366.630371,-2312.555527,-54.074731
58,-2891.008301,-2831.666656,-59.341763
59,-3282.141846,-3231.555511,-50.586307
60,-2078.489258,-2037.666664,-40.822550
61,-2514.713623,-2460.555496,-54.158031
62,-2000.362793,-1953.555603,-46.807165
63,-2358.409912,-2306.666656,-51.743391
64,-2206.841553,-2146.333359,-60.508221
65,-2553.213135,-2499.555557,-53.657553
66,-2421.266602,-2374.333344,-46.933256
67,-2332.402344,-2295.888885,-36.513500
68,-1981.651489,-1909.999985,-71.651553
69,-1784.874146,-1716.111107,-68.763130
70,-2235.583740,-2197.333344,-38.250355
71,-2493.017822,-2450.444427,-42.573436
72,-2151.502686,-2075.111084,-76.391632
73,-2442.749512,-2398.888855,-43.860711
74,-2491.726562,-2446.888885,-44.837651
75,-2013.202148,-1965.777779,-47.424295
76,-2301.660156,-2244.666649,-56.993495
77,-2241.664551,-2193.222260,-48.442167
78,-2863.419678,-2826.000015,-37.419646
79,-2328.421387,-2286.555618,-41.865626
80,-2262.802979,-2215.888947,-46.914176
81,-2066.961182,-2014.777786,-52.183342
82,-2553.545898,-2501.111084,-52.434929
83,-1962.148438,-1907.000031,-55.148283
84,-1886.525513,-1836.888901,-49.636652
85,-2006.094727,-1944.222214,-61.872453
86,-2144.786377,-2082.333344,-62.453114
87,-2139.444824,-2089.888916,-49.555967
88,-2686.088623,-2628.666626,-57.421974
89,-1703.775635,-1647.555550,-56.220036
90,-2504.581543,-2454.888931,-49.692725
91,-1603.229004,-1535.666672,-67.562352
92,-2360.299316,-2300.333321,-59.965910
93,-2215.238037,-2156.222214,-59.015920
94,-1965.835205,-1892.111084,-73.724240
95,-2328.675049,-2273.777710,-54.897416
96,-2304.330811,-2258.555573,-45.775316
97,-1682.026001,-1634.222214,-47.803669
98,-2338.443359,-2274.222221,-64.221058
99,-2162.915527,-2110.333313,-52.582119
100,-2017.433960,-1968.666687,-48.767193
101,-2288.987793,-2241.444443,-47.543483
102,-2809.740479,-2757.999939,-51.740351
103,-2311.263184,-2263.111099,-48.152165
104,-1735.096680,-1677.555557,-57.541161
105,-2137.073975,-2078.555527,-58.518535
106,-2179.510742,-2127.888870,-51.621739
107,-2067.780273,-2018.000015,-49.780178
108,-1930.781250,-1883.555542,-47.225692
109,-2256.108887,-2214.555542,-41.553271
110,-1985.308472,-1937.777779,-47.530619
111,-2211.748047,-2159.555557,-52.192613
112,-2106.255615,-2055.777756,-50.478026
113,-2073.043213,-2027.888878,-45.154268
114,-1865.642944,-1810.111115,-55.531836
115,-2189.092285,-2136.444458,-52.647668
116,-2308.390381,-2252.999985,-55.390372
117,-2455.014160,-2414.111084,-40.903194
118,-2256.530762,-2207.222229,-49.308554
119,-2561.146484,-2509.444458,-51.701903
120,-2708.393311,-2668.444519,-39.948855
121,-2320.207764,-2257.333344,-62.874426
122,-2400.157715,-2346.888901,-53.268710
123,-2038.554443,-1992.777756,-45.776684
124,-2139.927979,-2082.222260,-57.705591
125,-1928.743896,-1885.777802,-42.966084
126,-1944.343140,-1890.999992,-53.343051
127,-2053.013672,-1998.888916,-54.124793
128,-1862.080688,-1806.888870,-55.191766
129,-2202.919678,-2163.555557,-39.364195
