episode,reward,r_acc
1,-40442.500000,-40442.500000
2,-37870.000000,-37870.000000
3,-31937.750000,-31937.750000
4,-33542.250000,-33542.250000
5,-30869.000000,-30869.000000
6,-30242.750000,-30242.750000
7,-32351.750000,-32351.750000
8,-40481.000000,-40481.000000
9,-33538.500000,-33538.500000
10,-30536.750000,-30536.750000
11,-35718.250000,-35718.250000
12,-39056.500000,-39056.500000
13,-32237.250000,-32237.250000
14,-35141.000000,-35141.000000
15,-32742.750000,-32742.750000
16,-38077.750000,-38077.750000
17,-30722.500000,-30722.500000
18,-28912.000000,-28912.000000
19,-32662.250000,-32662.250000
20,-30005.000000,-30005.000000
21,-28924.750000,-28924.750000
22,-30406.750000,-30406.750000
23,-41602.000000,-41602.000000
24,-33362.250000,-33362.250000
25,-38717.500000,-38717.500000
26,-33401.250000,-33401.250000
27,-33276.500000,-33276.500000
28,-32902.750000,-32902.750000
29,-33333.500000,-33333.500000
30,-33309.000000,-33309.000000
31,-31387.500000,-31387.500000
32,-39159.500000,-39159.500000
33,-31148.000000,-31148.000000
34,-33416.250000,-33416.250000
35,-33398.000000,-33398.000000
36,-36808.750000,-36808.750000
37,-32433.500000,-32433.500000
38,-29697.000000,-29697.000000
39,-28335.750000,-28335.750000
40,-29614.000000,-29614.000000
41,-31913.750000,-31913.750000
42,-33309.750000,-33309.750000
43,-30721.500000,-30721.500000
44,-30787.000000,-30787.000000
45,-32688.250000,-32688.250000
46,-32077.250000,-32077.250000
47,-28261.250000,-28261.250000
48,-31269.250000,-31269.250000
49,-31788.250000,-31788.250000
50,-30705.000000,-30705.000000
51,-35247.000000,-35247.000000
52,-30062.500000,-30062.500000
53,-30343.500000,-30343.500000
54,-37702.000000,-37702.000000
55,-30568.750000,-30568.750000
56,-31127.750000,-31127.750000
57,-36817.500000,-36817.500000
58,-31900.500000,-31900.500000
59,-34541.750000,-34541.750000
60,-31818.000000,-31818.000000
61,-42581.750000,-42581.750000
62,-33028.750000,-33028.750000
63,-38488.250000,-38488.250000
64,-29175.500000,-29175.500000
65,-31496.250000,-31496.250000
66,-33204.000000,-33204.000000
67,-29235.000000,-29235.000000
68,-32229.250000,-32229.250000
69,-32810.750000,-32810.750000
70,-34689.750000,-34689.750000
71,-33232.750000,-33232.750000
72,-33291.000000,-33291.000000
73,-34929.500000,-34929.500000
74,-35046.000000,-35046.000000
75,-30549.500000,-30549.500000
76,-34405.250000,-34405.250000
77,-29825.750000,-29825.750000
78,-37462.500000,-37462.500000
79,-31497.500000,-31497.500000
80,-31041.250000,-31041.250000
81,-29112.250000,-29112.250000
82,-33396.500000,-33396.500000
83,-38950.500000,-38950.500000
84,-36299.750000,-36299.750000
85,-38649.500000,-38649.500000
86,-28795.000000,-28795.000000
87,-30571.000000,-30571.000000
88,-29150.750000,-29150.750000
89,-30686.250000,-30686.250000
90,-41213.000000,-41213.000000
91,-32730.000000,-32730.000000
92,-31334.750000,-31334.750000
93,-31678.000000,-31678.000000
94,-36283.250000,-36283.250000
95,-34928.750000,-34928.750000
96,-32600.750000,-32600.750000
97,-31874.000000,-31874.000000
98,-31718.500000,-31718.500000
99,-36778.000000,-36778.000000
100,-35585.500000,-35585.500000
101,-41174.750000,-41174.750000
102,-32151.250000,-32151.250000
103,-31964.500000,-31964.500000
104,-34950.750000,-34950.750000
105,-32294.000000,-32294.000000
106,-31876.750000,-31876.750000
107,-32710.500000,-32710.500000
108,-34822.750000,-34822.750000
109,-31095.500000,-31095.500000
110,-28880.500000,-28880.500000
111,-33035.250000,-33035.250000
112,-30128.000000,-30128.000000
113,-32762.250000,-32762.250000
114,-36556.000000,-36556.000000
115,-43859.000000,-43859.000000
116,-30357.750000,-30357.750000
117,-30892.500000,-30892.500000
118,-35538.000000,-35538.000000
119,-32863.750000,-32863.750000
120,-30407.250000,-30407.250000
121,-31595.000000,-31595.000000
122,-34834.500000,-34834.500000
